Phoneme,Length,Type,Place,Manner,Voicing,Aspiration,Nasal,Sibilant,Retroflex
k,1,Consonant,velar,stop,voiceless,no,no,no,no
kh,2,Consonant,velar,stop,voiceless,yes,no,no,no
g,1,Consonant,velar,stop,voiced,no,no,no,no
gh,2,Consonant,velar,stop,voiced,yes,no,no,no
ṅ,1,Consonant,velar,nasal,voiced,no,yes,no,no
c,1,Consonant,palatal,affricate,voiceless,no,no,yes,no
ch,2,Consonant,palatal,affricate,voiceless,yes,no,yes,no
j,1,Consonant,palatal,affricate,voiced,no,no,yes,no
jh,2,Consonant,palatal,affricate,voiced,yes,no,yes,no
ñ,1,Consonant,palatal,nasal,voiced,no,yes,no,no
ṭ,1,Consonant,retroflex,stop,voiceless,no,no,no,yes
ṭh,2,Consonant,retroflex,stop,voiceless,yes,no,no,yes
ḍ,1,Consonant,retroflex,stop,voiced,no,no,no,yes
ḍh,2,Consonant,retroflex,stop,voiced,yes,no,no,yes
ṇ,1,Consonant,retroflex,nasal,voiced,no,yes,no,yes
t,1,Consonant,dental,stop,voiceless,no,no,no,no
th,2,Consonant,dental,stop,voiceless,yes,no,no,no
d,1,Consonant,dental,stop,voiced,no,no,no,no
dh,2,Consonant,dental,stop,voiced,yes,no,no,no
n,1,Consonant,dental,nasal,voiced,no,yes,no,no
p,1,Consonant,labial,stop,voiceless,no,no,no,no
ph,2,Consonant,labial,stop,voiceless,yes,no,no,no
b,1,Consonant,labial,stop,voiced,no,no,no,no
bh,2,Consonant,labial,stop,voiced,yes,no,no,no
m,1,Consonant,labial,nasal,voiced,no,yes,no,no
y,1,Consonant,palatal,approximant,voiced,no,no,no,no
r,1,Consonant,retroflex,trill,voiced,no,no,no,yes
l,1,Consonant,dental,lateral,voiced,no,no,no,no
v,1,Consonant,labiodental,approximant,voiced,no,no,no,no
ś,1,Consonant,palatal,fricative,voiceless,no,no,yes,no
ṣ,1,Consonant,retroflex,fricative,voiceless,no,no,yes,yes
s,1,Consonant,dental,fricative,voiceless,no,no,yes,no
h,1,Consonant,glottal,fricative,voiced,yes,no,yes,no
